# sft export v3 -- generated 2024-11-02
id	instruction	input	output	source
m00000	Length:	xivpjfsnaj	10	vendor_a
m00001	Reverse:	vadv		synthetic
m00002	repeat:	model batch	model batch	scrape
m00003	Reverse:	kfxw	wxfk	synthetic
m00004	UPPERCASE:	afolud	AFOLUD	scrape
m00005	Count vowels:	bfqynmjvu	1	synthetic
m00006	Reverse:	vefpzfak	kafzpfev	synthetic
m00007	Uppercase:	weci	WECI	vendor_b
m00008	Sort  letters:	lbktxvc	bckltvx	scrape
m00009	Repeat:	it déjà it naïve single the small	it déjà it naïve single the small	scrape
m00010	Sort letters:	watoi​	aiotw	synthetic
m00011	Reverse:	dkopde	edpokd	synthetic
m00012	COUNT VOWELS:	sxepq	1	scrape
m00013	count vowels:	fwoh	1	scrape
m00014	Sort letters:	qkuawwwp	akpquwww	vendor_b
m00015	Uppercase:	oadvc	OADVC	vendor_b
m00016	Repeat:	and it batch	and it batch	synthetic
m00017	Uppercase:	hrehu	HREHU	vendor_b
m00018	Reverse:	pejn	njep	vendor_b
m00019	rEPEAT:	learns a über	learns a über	scrape
m00020	Repeat:	batch	batch	vendor_a
m00021	sort letters:	yeq	eqy	scrape
m00022	reverse:	aawhwk	kwhwaa	scrape
m00023	Sort  letters:	srmhu	hmrsu	scrape
m00024	Reverse:	sfpn	npfs	synthetic
m00025	Uppercase:	wetkkf	WETKKF	vendor_b
m00026	Reverse:	ueekajj	jjakeeu	vendor_a
m00027	Repeat:	of jalapeño of exactly loss the exactly über text batch	of jalapeño of exactly loss the exactly über text batch	vendor_b
m00028	Uppercase:	glkcxl	GLKCXL	vendor_b
m00029	Reverse:	jtlumbqo	oqbmultj	vendor_a

m00030	Sort letters:	qwkl
m00031	Sort letters:	zlo	loz	vendor_a
m00032	reverse:	rtaxpyrs	srypxatr	scrape
m00033	rEVERSE:	netqjc	cjqten	scrape
m00034	Reverse:	egtxvhpi	iphvxtge	vendor_b
m00035	Reverse:	blvrzt	tzrvlb	vendor_a
m00036	uPPERCASE:	pslwmcasy	PSLWMCASY	scrape
m00037	Sort letters:	dyivmb	bdimvy	synthetic
m00038	Sort letters:	xtfytqf	ffqttxy	synthetic
m00039	Uppercase:	otbjkcifw	OTBJKCIFW	vendor_a
m00040	Sort  letters:	lloyxn	llnoxy	scrape
m00041	Sort letters:	ugdx	dgux	vendor_b
m00042	Reverse:	qfduj	judfq	vendor_a
