id	instruction	input	output
l0000	Uppercase:	anihmnb	ANIHMNB
l0001	Reverse:	zlabgxwk	kwxgbalz
l0002	Sort letters:	hdvg	dghv
l0003	Uppercase:	qudsr	QUDSR
l0004	Sort letters:	qksu	kqsu
l0005	Sort letters:	hbfzlqm	bfhlmqz
l0006	Sort letters:	ddsw	ddsw
l0007	Length:	ppheaxqjbvax	12
l0008	Sort letters:	isdojktp	dijkopst
l0009	Count vowels:	icfpiynadn	3
l0010	Sort letters:	cnloqj	cjlnoq
l0011	Reverse:	xqd	dqx
l0012	Uppercase:	byzkow	BYZKOW
l0013	Uppercase:	qbrgxy	QBRGXY
l0014	Repeat:	"she said ""the über"""	"she said ""the über"""
l0015	Sort letters:	jcpne	cejnp
l0016	Reverse:	ksnuzg	gzunsk
l0017	Repeat:	jalapeño to to	jalapeño to to
l0018	Reverse:	kvpdy	ydpvk
l0019	Repeat:	"she ’n’ said ""losing text data a token and small parser"""	"she ’n’ said ""losing text data a token and small parser"""
l0020	Repeat:	it back of	it back of
l0021	Uppercase:	kgz	KGZ
l0022	Sort letters:	qqrkqf	fkqqqr
l0023	Uppercase:	ispoeet	ISPOEET
l0024	Reverse:	mlhrbqi	iqbrhlm
l0025	Uppercase:	dumpk	DUMPK
l0026	Reverse:	eaz	zae
l0027	Count vowels:	xpaoo	3
l0028	Reverse:	kajp	pjak
l0029	Sort letters:	dmsne	demns
l0030	Sort letters:	qdguqy	dgqquy
l0031	Reverse:	bqyttmk	kmttyqb
l0032	Count vowels:	xlewnra	2
l0033	Count vowels:	aqvhi	2
l0034	Reverse:	cfsrvldn	ndlvrsfc
l0035	Count vowels:	vlppuji	2
l0036	Sort letters:	syw	swy
l0037	Uppercase:	ondpl	ONDPL
l0038	Uppercase:	xplqreyul	XPLQREYUL
l0039	Sort letters:	tlwvksem	eklmstvw
l0040	Sort letters:	qfgx	fgqx
l0041	Sort letters:	afp	afp
l0042	Reverse:	apymkk	kkmypa
l0043	Sort letters:	qttc	cqtt
l0044	Repeat:	of back text	of back text
l0045	Reverse:	feeyr	ryeef
l0046	Sort letters:	wlx	lwx
l0047	Sort letters:	ili	iil
l0048	Length:	wspvkhk	7
l0049	Repeat:	señor learns learns every the back data	señor learns learns every the back data
l0050	Reverse:	hmfl	lfmh
l0051	Uppercase:	yovo	YOVO
l0052	Uppercase:	fnymvjuui	FNYMVJUUI
l0053	Sort letters:	nqogvcpe	cegnopqv
l0054	Sort letters:	upxzqs	pqsuxz
l0055	Sort letters:	qkinq	iknqq
l0056	Repeat:	of and text without learns exactly gradient back of jalapeño	of and text without learns exactly gradient back of jalapeño
l0057	Count vowels:	zqowzjtac	2
l0058	Length:	idow	4
l0059	Uppercase:	lknkimzgh	LKNKIMZGH
l0060	Repeat:	exactly ’n’ parser line data character back data jalapeño text exactly	exactly ’n’ parser line data character back data jalapeño text exactly
l0061	Count vowels:	pqgiqrq	1
l0062	Reverse:	aedyjt	tjydea
l0063	Sort letters:	wsupla	alpsuw
l0064	Reverse:	bpdkpd	dpkdpb
l0065	Count vowels:	tnppug	1
l0066	Reverse:	xnqcvw	wvcqnx
l0067	Reverse:	qyhd	dhyq
l0068	Length:	wonts	5
l0069	Sort letters:	txyfin	fintxy
l0070	Reverse:	hivhceo	oechvih
l0071	Reverse:	vpehxbts	stbxhepv
l0072	Reverse:	ucg	gcu
l0073	Repeat:	model learns	model learns
l0074	Uppercase:	imkw	IMKW
l0075	Count vowels:	ufycpmiazl	3
l0076	Sort letters:	bukjp	bjkpu
l0077	Sort letters:	ccyzyzt	cctyyzz
l0078	Reverse:	llefsdzl	lzdsfell
l0079	Length:	vqxkyny	7
l0080	Repeat:	parser losing	parser losing
l0081	Sort letters:	xamttlml	allmmttx
